"","input","filtered","denoised","nonchim"
"ERR542798",91334,73352,71015,70311
"ERR542835",47669,39159,36400,36320
"ERR542842",79479,65552,61812,61495
"ERR542959",73321,60538,56979,56900
"ERR542989",47511,38346,36660,36450
"ERR543054",106493,88664,85434,85039
"ERR543059",66921,49434,47050,46810
"ERR543067",71401,58035,54488,54448
"ERR543081",69894,56482,53082,52747
"ERR543085",38572,27278,26251,26034
"ERR543093",78527,63550,60119,59958
"ERR543102",84573,71828,68886,68495
"ERR543114",72126,62517,59059,58595
"ERR543150",72105,59882,56902,56825
"ERR543189",68527,51003,48536,48287
"ERR543202",36291,31614,29747,29680
"ERR543208",55282,49313,47090,46951
"ERR543222",64537,55236,52865,52630
"ERR543264",52405,42549,40052,39938
"ERR543279",118869,93106,88555,87940
"ERR543284",52215,44617,41626,41370
"ERR543291",63293,49538,48419,48037
"ERR543318",142339,120957,115939,115497
"ERR543324",32611,28463,27504,27075
"ERR543349",80167,62355,59411,59140
"ERR543361",71445,55610,53446,53363
"ERR543383",60477,42855,41154,40492
"ERR543417",38281,30395,28529,28529
"ERR543433",70137,56558,53821,53758
"ERR543446",51734,41453,40294,39585
"ERR543472",88316,74823,71014,70737
"ERR543503",63854,49228,45946,45946
"ERR543509",67646,51964,48971,48904
"ERR543522",51152,41425,38284,38252
"ERR543531",71040,54666,51247,51129
"ERR543567",93248,73573,70236,69802
"ERR543636",55202,43023,40569,40440
"ERR543678",72973,60030,56916,56778
"ERR543717",66908,54015,51268,50939
"ERR543742",76448,60959,59272,59115
"ERR543756",52598,42743,40341,40307
"ERR543764",113522,94114,90912,90093
"ERR543800",54440,47231,45146,44957
"ERR543802",65722,54843,52970,52482
"ERR543803",80519,62770,58974,58718
"ERR543826",78822,65052,61989,61907
"ERR543827",67413,52867,50319,50004
"ERR543872",58091,47903,45179,45152
"ERR543880",81880,70286,66194,66165
"ERR543883",57571,46523,43724,43576
"ERR543889",75547,55866,53911,53833
"ERR543912",46111,37541,34839,34801
