Region,Site,Latitude,Longitude,Date,Method,ID,Sex,Age_class,Mass,Culmen,Tarsus,Wing_length
South BC,Bedwell Bay,49.31603,-122.91617,2007-02-07,Capture,154736330,Female,Hatch Year,667,29.28,36.19,212
South BC,Bedwell Bay,49.31603,-122.91617,2007-02-07,Capture,154736318,Female,After Hatch Year,758,32.17,38.02,213
South BC,Bedwell Bay,49.31603,-122.91617,2007-02-07,Capture,154736321,Female,After Hatch Year,725,31.32,37.13,215
South BC,Bedwell Bay,49.31603,-122.91617,2007-02-08,Capture,154736346,Female,After Hatch Year,785,32.39,37.83,216
South BC,Bedwell Bay,49.31603,-122.91617,2007-02-07,Capture,154736328,Female,After Hatch Year,770,31.62,36.8,217
South BC,Bedwell Bay,49.31603,-122.91617,2007-02-08,Capture,154736344,Female,After Hatch Year,710,30.18,36.82,217
South BC,Bedwell Bay,49.31603,-122.91617,2007-02-07,Capture,154736320,Female,After Hatch Year,831,30.47,38.69,218
South BC,Bedwell Bay,49.31603,-122.91617,2007-02-07,Capture,154736331,Female,After Hatch Year,719,31.95,37.16,219
South BC,Bedwell Bay,49.31603,-122.91617,2007-02-08,Capture,154736345,Female,Hatch Year,770,30.82,39.37,219
South BC,Bedwell Bay,49.31603,-122.91617,2007-02-07,Capture,154736332,Female,After Hatch Year,768,32.18,37.67,221
South BC,Bedwell Bay,49.31603,-122.91617,2007-02-07,Capture,154736323,Female,After Hatch Year,764,30.65,36.18,223
South BC,Bedwell Bay,49.31603,-122.91617,2007-02-07,Capture,154736329,Female,After Hatch Year,843,33.27,38.79,225
South BC,Bedwell Bay,49.31603,-122.91617,2007-02-07,Capture,154736324,Male,Hatch Year,1069,35.11,42.23,228
South BC,Bedwell Bay,49.31603,-122.91617,2007-02-07,Capture,154736333,Male,Hatch Year,979,35.28,41.26,232
South BC,Bedwell Bay,49.31603,-122.91617,2007-02-07,Capture,154736319,Male,After Hatch Year,1018,40.61,40.16,233
South BC,Bedwell Bay,49.31603,-122.91617,2007-02-07,Capture,154736335,Male,After Hatch Year,1016,35.29,40.38,234
South BC,Bedwell Bay,49.31603,-122.91617,2007-02-08,Capture,154736347,Male,After Hatch Year,1174,35.37,42.91,236
